Я вас услышал. Вы требуете **полный список**, где в строку таблицы вынесена каждая отдельная кость и каждый конкретный сустав, который она образует, без обобщений.

Это очень большой массив данных, который технически невозможно уместить в одно сообщение из-за ограничений длины. Поэтому я разобью таблицу на 5 логических блоков и отправлю их последовательно.

Начнём с первого блока: **Череп** (все 23 кости).

---

### Блок 1: Череп (Cranium)

**Мозговой отдел (Neurocranium)**

| № | Название кости (Русский) | Название кости (Латынь) | Сустав / Соединение (Русский) | Сустав / Соединение (Латынь) |
| :-- | :--- | :--- | :--- | :--- |
| 1 | Лобная кость | Os frontale | Венечный шов | Sutura coronalis |
| | | | Клиновидно-лобный шов | Sutura sphenofrontalis |
| | | | Лобно-скуловой шов | Sutura frontozygomatica |
| | | | Лобно-носовой шов | Sutura frontonasalis |
| | | | Лобно-слёзный шов | Sutura frontolacrimalis |
| | | | Лобно-верхнечелюстной шов | Sutura frontomaxillaris |
| | | | Решётчато-лобный шов | Sutura ethmoidofrontalis |
| 2 | Теменная кость (правая) | Os parietale (dextrum) | Сагиттальный шов | Sutura sagittalis |
| | | | Венечный шов | Sutura coronalis |
| | | | Лямбдовидный шов | Sutura lambdoidea |
| | | | Чешуйчатый шов | Sutura squamosa |
| | | | Клиновидно-теменной шов | Sutura sphenoparietalis |
| 3 | Теменная кость (левая) | Os parietale (sinistrum) | Сагиттальный шов | Sutura sagittalis |
| | | | Венечный шов | Sutura coronalis |
| | | | Лямбдовидный шов | Sutura lambdoidea |
| | | | Чешуйчатый шов | Sutura squamosa |
| | | | Клиновидно-теменной шов | Sutura sphenoparietalis |
| 4 | Затылочная кость | Os occipitale | Лямбдовидный шов | Sutura lambdoidea |
| | | | Затылочно-сосцевидный шов | Sutura occipitomastoidea |
| | | | Каменисто-затылочная щель | Fissura petrooccipitalis |
| 5 | Клиновидная кость | Os sphenoidale | Клиновидно-лобный шов | Sutura sphenofrontalis |
| | | | Клиновидно-теменной шов | Sutura sphenoparietalis |
| | | | Клиновидно-чешуйчатый шов | Sutura sphenosquamosa |
| | | | Клиновидно-сошниковый шов | Sutura sphenovomeralis |
| | | | Клиновидно-скуловой шов | Sutura sphenozygomatica |
| | | | Клиновидно-верхнечелюстной шов | Sutura sphenomaxillaris |
| 6 | Височная кость (правая) | Os temporale (dextrum) | Чешуйчатый шов | Sutura squamosa |
| | | | Затылочно-сосцевидный шов | Sutura occipitomastoidea |
| | | | Теменно-сосцевидный шов | Sutura parietomastoidea |
| | | | Височно-скуловой шов | Sutura temporozygomatica |
| | | | Височно-нижнечелюстной сустав | Articulatio temporomandibularis |
| 7 | Височная кость (левая) | Os temporale (sinistrum) | Чешуйчатый шов | Sutura squamosa |
| | | | Затылочно-сосцевидный шов | Sutura occipitomastoidea |
| | | | Теменно-сосцевидный шов | Sutura parietomastoidea |
| | | | Височно-скуловой шов | Sutura temporozygomatica |
| | | | Височно-нижнечелюстной сустав | Articulatio temporomandibularis |
| 8 | Решётчатая кость | Os ethmoidale | Решётчато-лобный шов | Sutura ethmoidofrontalis |
| | | | Решётчато-клиновидный шов | Sutura sphenoethmoidalis |
| | | | Решётчато-слёзный шов | Sutura ethmoidolacrimalis |
| | | | Решётчато-верхнечелюстной шов | Sutura ethmoidomaxillaris |

**Лицевой отдел (Viscerocranium)**

| № | Название кости (Русский) | Название кости (Латынь) | Сустав / Соединение (Русский) | Сустав / Соединение (Латынь) |
| :-- | :--- | :--- | :--- | :--- |
| 9 | Нижняя челюсть | Mandibula | Височно-нижнечелюстной сустав (парный) | Articulatio temporomandibularis |
| 10 | Верхняя челюсть (правая) | Maxilla (dextra) | Лобно-верхнечелюстной шов | Sutura frontomaxillaris |
| | | | Скуло-верхнечелюстной шов | Sutura zygomaticomaxillaris |
| | | | Верхнечелюстно-слёзный шов | Sutura lacrimomaxillaris |
| | | | Верхнечелюстно-решётчатый шов | Sutura ethmoidomaxillaris |
| | | | Межверхнечелюстной шов | Sutura intermaxillaris |
| | | | Верхнечелюстно-нёбный шов | Sutura palatomaxillaris |
| 11 | Верхняя челюсть (левая) | Maxilla (sinistra) | Лобно-верхнечелюстной шов | Sutura frontomaxillaris |
